,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
1453,248,2015,836.0,,24.0,,434.0,82.87,90.0,,5.0,24.4897959183673,17.07,100.0,,42.0,44.44,9.32642487046632
1454,248,2013,836.0,,16.0,,289.0,85.2,83.0,,5.0,,,100.0,,38.0,,9.025270758122744
1455,248,2011,836.0,,,,,78.57,,,100.0,,,100.0,,836.0,,
1456,248,2016,,,,,,81.3,86.0,,,27.54,20.4,,,,22.2,16.0
1457,248,2014,,,,,,78.18,79.0,,,29.166666666666668,26.190476190476193,,,,27.27272727272727,15.833333333333332
1458,249,2017,531.0,44.0,,7.0,,76.0,91.0,16.0,100.0,31.9,26.4,100.0,8.0,531.0,15.0,15.0
1459,249,2015,531.0,,10.0,,167.0,80.63,73.0,,100.0,25.0,23.38,100.0,,531.0,33.33,10.3975535168196
1460,249,2013,531.0,,7.0,,120.0,88.52,44.0,,100.0,,,100.0,,531.0,,9.836065573770492
1461,249,2011,531.0,,,,,69.03,,,100.0,,,100.0,,531.0,,
1462,249,2016,,,,,,75.5,75.0,,,35.23,22.2,,,,30.8,14.0
1463,249,2014,,,,,,85.63,55.0,,,21.176470588235293,25.0,,,,14.285714285714285,9.863013698630137
1464,250,2017,215.0,100.0,,11.0,,80.0,100.0,9.0,44.0,55.9,30.0,32.0,50.0,296.0,15.4,11.0
1465,250,2015,328.0,,15.0,,252.0,75.0,95.0,,49.0,53.448275862069,38.18,49.0,,328.0,25.0,10.0
1466,250,2013,134.0,,11.0,,183.0,84.41,100.0,,44.0,,,20.0,,296.0,,5.323193916349809
1467,250,2011,134.0,,,,,80.8,,,44.0,,,20.0,,297.0,,
1468,250,2016,,,,,,76.7,93.0,,,57.81,34.0,,,,11.1,8.0
1469,250,2014,,,,,,81.11,100.0,,,52.83018867924528,31.11111111111111,,,,66.66666666666666,8.370044052863436
1470,251,2017,654.0,95.0,,9.0,,79.0,100.0,26.0,97.0,50.0,32.6,97.0,49.0,654.0,40.9,9.0
1471,251,2015,647.0,,17.0,,301.0,79.53,94.0,,97.0,43.3734939759036,42.86,97.0,,647.0,42.11,3.90879478827362
1472,251,2013,625.0,,12.0,,201.0,80.4,95.0,,97.0,,,97.0,,625.0,,4.545454545454546
1473,251,2011,586.0,,,,,82.61,,,97.0,,,97.0,,586.0,,
1474,251,2016,,,,,,78.9,100.0,,,44.74,37.4,,,,56.3,6.0
1475,251,2014,,,,,,78.59,89.0,,,45.88235294117647,47.88732394366197,,,,26.666666666666668,2.6785714285714284
1476,252,2017,17.0,99.0,,11.0,,75.0,,5.0,5.0,45.0,45.5,5.0,56.0,17.0,,7.0
1477,252,2015,70.0,,20.0,,207.0,78.95,100.0,,20.0,53.8461538461538,47.37,20.0,,70.0,71.43,5.05050505050505
