,Unnamed: 0,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
1559,1559,365,2017,"Our Local, LLC",B-2,MUDD-O,CD,no,NO,2.11,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/02/27 00:00:00+00,,Wd,-1.0,717.0,-1.0,90.0,-1.0,14.0,-1.0,26.0,-1.0,64.0,-1.0,37.9,31.3,-1.0,12.0,246.0,-1.0,23.0,3.8,6.0,1700.0,-1.0,1.36,2.0
1560,1560,365,2019,Beaver Creek CRE LLC,MUDD-O,MUDD-O,CD,SPA,NO,2.11,CMUD,CMUD,YES,Corridor,South,Scott Correll,Grant Meacci,John Kinley,2019/03/21 14:09:19+00,2019/07/15 00:00:00+00,App,-1.0,717.0,-1.0,90.0,-1.0,14.0,-1.0,26.0,-1.0,64.0,-1.0,37.9,31.3,-1.0,12.0,246.0,-1.0,23.0,3.8,6.0,1700.0,-1.0,1.36,2.0
1561,1561,366,2014,City of Charlotte (N&BS),B-2,MUDD-O,CD,no,NO,20.32,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,John Kinley,2014/09/22 00:00:00+00,,Wd,6.9,31.0,62.1,7.0,17.2,17.0,60.0,38.2,111.0,58.73,100.0,44.444444444444436,28.57142857142857,-1.0,11.111111111111109,163.0,1.0,46.0,3.6,2.0,796.0,74.0,1.27,1.4
1562,1562,366,2014,City of Charlotte (N&BS),R-22MF,B-2(CD),CD,no,NO,20.32,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,John Kinley,2014/09/22 00:00:00+00,,Wd,6.9,31.0,62.1,7.0,17.2,17.0,60.0,38.2,111.0,58.73,100.0,44.444444444444436,28.57142857142857,-1.0,11.111111111111109,163.0,1.0,46.0,3.6,2.0,796.0,74.0,1.27,1.4
1563,1563,366,2015,"Off Camber Group, Inc.",I-2,I-1,NC,no,NO,0.52,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,Lyte-Graham_Claire,2015/01/23 00:00:00+00,2015/05/18 00:00:00+00,App,6.9,31.0,62.1,7.0,17.2,22.0,60.0,38.2,111.0,63.08,88.0,52.6315789473684,33.33,-1.0,17.8082191780822,67.0,1.0,18.0,3.6,2.0,796.0,69.0,1.27,1.4
1564,1564,367,2016,"Pamlico Investments, Inc.",B-1,MUDD-O,CD,no,NO,1.37,CMUD,CMUD,YES,Corridor,,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/01/25 00:00:00+00,2016/05/16 00:00:00+00,App,0.0,1130.0,80.4,37.0,8.4,4.181818181818182,72.0,36.0,151.0,73.4,85.0,69.12,83.3,100.0,6.0,2986.0,3.6666666666666665,80.0,2.6,8.0,5562.0,87.33333333333333,1.41,1.8
1565,1565,367,2014,The Charlotte-Mecklenburg Hospital Authority,R-5,O-2(CD),CD,no,NO,1.56,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2013/11/25 00:00:00+00,,Wd,0.9,1143.0,82.5,42.0,6.1,5.0,75.0,36.03333333333334,139.0,71.37,93.0,75.38461538461539,85.0,68.75,4.83271375464684,1496.0,3.0,56.0,2.6000000000000005,7.666666666666667,5327.5,112.0,1.4091666666666667,1.8000000000000005
1566,1566,367,2020,Saussy Burbank/The Drakeford Company,R-22MF,UR-2(CD),CD,no,NO,0.55,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2019/12/12 14:42:06+00,2020/07/20 00:00:00+00,App,0.36,1130.4285714285713,81.24000000000001,33.5,7.4799999999999995,4.181818181818182,73.2,36.03333333333334,146.2,73.00999999999998,92.92857142857143,73.11637362637363,79.4457142857143,71.11999999999998,5.987090975938561,1451.4285714285713,3.6666666666666665,41.214285714285715,2.6000000000000005,7.666666666666667,5327.5,87.33333333333333,1.4091666666666667,1.8000000000000005
1567,1567,367,2019,Crescent Communities,MUDD-O,MUDD-O,CD,SPA,NO,1.68,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2019/02/15 09:21:11+00,2019/10/21 08:51:16+00,App,0.36,1130.4285714285713,81.24000000000001,33.5,7.4799999999999995,4.181818181818182,73.2,36.03333333333334,146.2,73.00999999999998,92.92857142857143,73.11637362637363,79.4457142857143,71.11999999999998,5.987090975938561,1451.4285714285713,3.6666666666666665,41.214285714285715,2.6000000000000005,7.666666666666667,5327.5,87.33333333333333,1.4091666666666667,1.8000000000000005
1568,1568,367,2014,"7th Street Progression Partners, LLC",B-1,MUDD-O,CD,no,NO,1.5,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2014/06/23 00:00:00+00,2014/11/17 00:00:00+00,App,0.9,1143.0,82.5,42.0,6.1,5.0,75.0,36.03333333333334,139.0,71.37,93.0,75.38461538461539,85.0,68.75,4.83271375464684,1496.0,3.0,56.0,2.6000000000000005,7.666666666666667,5327.5,112.0,1.4091666666666667,1.8000000000000005
