NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
110,2016,"MT Island Promenade, LLC",NS,NS,CD,SPA,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2016,"MT Island Promenade, LLC",NS,O1(CD),CD,no,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2016,"MT Island Promenade, LLC",BD(CD),CC,CD,no,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2016,"MT Island Promenade, LLC",NS,CC,CD,no,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2017,Sean Brady,R-3,R-12MF,NC,no,NO,8.557,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/11/27 00:00:00+00,2018/03/19 00:00:00+00,App,0.0,251.0,66.7,32.0,25.5,8.0,68.0,5.7,133.33333333333334,64.0,100.0,45.7,35.2,18.2,13.0,199.0,-1.0,18.0,20.1,1.0,1870.0,-1.0,1.08,1.1
110,2018,James Poutier,R-3,NS,CD,no,NO,5.5,CMUD,CMUD,YES,Mixed Use Activity Center,North,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/10/15 09:22:26+00,2019/09/16 08:16:00+00,App,0.0,246.0,66.7,32.0,25.5,8.0,68.0,6.2,136.0,70.32,90.4,42.828,49.52000000000001,50.28,12.2,614.0,-1.0,69.0,20.1,1.0,1865.0,-1.0,1.13,1.2
110,2016,"MT Island Promenade, LLC",NS,NS,CD,SPA,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2019,Novant Health,NS,O-1(CD),CD,no,NO,33.16,CMUD,CMUD,YES,Mixed Use Activity Center,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/04/08 15:33:28+00,2019/09/16 08:42:23+00,App,0.0,250.54545454545453,66.7,32.72727272727273,25.5,8.0,68.0,5.672727272727273,133.33333333333334,70.32,90.4,42.828,49.52000000000001,50.28,12.2,711.6363636363636,-1.0,67.0,20.099999999999998,1.0,1859.3636363636363,-1.0,1.0845454545454547,1.1818181818181817
110,2016,"MT Island Promenade, LLC",R-3,O1(CD),CD,no,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
110,2016,"MT Island Promenade, LLC",BD(CD),NS,CD,SPA,NO,125.13,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/07/25 00:00:00+00,2017/01/17 00:00:00+00,App,0.0,251.0,66.7,33.0,25.5,8.0,68.0,5.6,133.0,71.9,88.0,42.11,53.1,58.3,12.0,852.0,-1.0,79.0,20.1,1.0,1856.0,-1.0,1.08,1.2
